level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
4	1	14	0	4	0	102.500000	218.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	4	0	102.50	218.34	4.36	9.00	100	2
4	1	14	0	5	0	102.500000	225.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	5	0	102.50	225.84	4.36	9.00	100	3
4	1	14	0	6	0	102.500000	237.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	6	0	102.50	237.34	4.36	9.00	100	4
4	1	14	0	7	0	102.500000	244.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	7	0	102.50	244.84	4.36	9.00	100	3
4	1	14	0	8	0	102.500000	252.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	8	0	102.50	252.34	4.36	9.00	100	4
4	1	14	0	9	0	102.500000	259.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	9	0	102.50	259.84	4.36	9.00	100	3
4	1	14	0	10	0	102.500000	267.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	10	0	102.50	267.34	4.36	9.00	100	2
4	1	14	0	11	0	102.500000	274.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	11	0	102.50	274.84	4.36	9.00	100	3
4	1	14	0	12	0	102.500000	286.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	12	0	102.50	286.34	4.36	9.00	100	2
4	1	14	0	13	0	102.500000	293.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	13	0	102.50	293.84	4.36	9.00	100	3
4	1	14	0	14	0	102.500000	301.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	14	0	102.50	301.34	4.36	9.00	100	2
4	1	14	0	15	0	102.500000	308.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	15	0	102.50	308.84	4.36	9.00	100	3
4	1	14	0	16	0	102.500000	316.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	16	0	102.50	316.34	4.36	9.00	100	2
4	1	14	0	17	0	102.500000	323.840000	4.356000	9.000000	-1	###LINE###
